x,y,text,cluster,connected_to
-0.198866,-0.076810,UI comparison: screenshot analysis,4,60;149;30;180;6
0.031695,0.083957,visionOS case-study sharing,3,132;81;186;198;209
-0.159976,-0.089825,Font pairing insights,4,246;137;252;97;75
0.380135,-0.066312,PAY.JP adoption case study,2,172;235;43;85;121
-0.193890,-0.110220,Latin font research,4,252;82;75;91;97
0.009343,0.087367,Hackathon participation log,4,96;126;35;109;157
-0.193017,-0.069537,UI pattern comparison,4,60;149;38;0;144
-0.171084,-0.056660,AR overlay exploration,4,210;214;104;16;177
-0.166412,-0.175825,Typography hierarchy design,4,88;167;137;69;58
-0.072243,0.262646,API usage notes,0,107;296;278;152;248
-0.147596,-0.120160,User flow analysis,4,177;216;120;255;30
-0.055765,0.148355,XR demo sharing,1,194;92;21;47;72
-0.082524,0.015884,Font license notes,4,276;142;294;203;282
-0.103859,-0.061098,Event retrospective,4,77;272;64;275;273
-0.119415,-0.101700,Design system mention,4,104;53;144;269;77
-0.084709,0.014930,LLM usage ideas,4,124;71;50;184;4
-0.231854,-0.089669,Spatial UI insights,4,210;76;216;120;30
-0.049938,-0.107244,Discussion on brand consistency,4,123;183;100;28;46
-0.170555,-0.073357,Legibility validation,4,67;91;146;113;97
-0.102332,-0.017427,Hand-tracking mention,4,14;7;16;226;222
-0.095314,-0.131831,B2B-context UX,4,267;297;255;101;291
-0.059573,0.114882,XR market sharing,1,11;194;37;92;72
-0.123733,-0.084424,UIstructure organizing,4,150;134;291;33;293
-0.051390,-0.042568,Talk slide deck introduction,4,31;28;29;104;53
0.106991,-0.107545,Payment experience review,2,168;56;151;36;161
-0.112451,0.062325,Community networking,4,196;207;287;201;205
-0.027299,-0.139885,Japanese/Latin mixed typesetting research,4,4;82;58;252;91
-0.050754,-0.014968,XR interaction experience,1,92;57;171;194;11
-0.120137,-0.116075,Articulating the brand,4,46;80;87;136;104
-0.065894,0.226443,API integration introduction,0,147;98;254;296;218
-0.173434,-0.108520,UI analysis post,4,216;120;180;149;60
-0.108390,-0.143806,Fontcase study introduction,4,234;61;239;252;82
0.471364,-0.060006,PAY.JPcampaign announcement,2,121;102;163;241;148
-0.177164,-0.113284,Information architecture organizing,4,291;22;135;150;293
0.050522,0.056314,UIスクショsharing,3,196;207;180;116;78
0.179323,-0.041236,ハッカソンresults report,2,109;126;64;187;199
0.163751,-0.197967,決済UX improvement,2,151;62;133;48;185
-0.038707,-0.020282,XR expo participation,1,72;21;11;92;106
-0.059892,-0.119152,UIコンポーネントcomparison,4,60;149;6;161;116
0.051186,-0.210922,デザインevaluation points,4,77;129;169;78;87
0.033774,-0.175883,フローデザインimprovement,4,62;77;39;36;225
-0.018466,-0.119394,AIとUX 接続,4,63;78;129;116;111
-0.065965,0.011261,VisionOS review,4,155;179;186;198;209
0.470628,-0.092437,PAY.JPcase study post,2,172;235;85;3;163
-0.095767,0.023471,Prototyping log,4,154;73;233;263;72
0.176153,-0.090555,イベントtalkレポート,4,74;109;138;99;35
-0.126835,-0.155740,Brand touchpoints analysis,4,80;136;10;28;216
0.046516,0.218074,XRproject sharing,1,194;92;11;99;84
0.178984,-0.177828,決済user flow rethinking,2,133;36;151;161;62
0.100876,0.100472,API利用case study,0,236;141;114;175;59
-0.008112,0.007436,LLMexperiment post,4,184;71;15;124;164
-0.007590,-0.180164,Font選定理由,4,61;69;142;127;58
0.077951,-0.078087,XRアプリintroduction,1,159;112;89;106;99
-0.150668,-0.139854,Experience design notes,4,101;104;267;153;120
-0.089810,0.163130,UIstructure diagram sharing,3,180;196;207;22;134
0.089976,-0.192607,ブランドcopy exploration,4,166;213;123;219;160
-0.139924,-0.131868,UX review,4,297;267;255;225;273
-0.066290,-0.033626,XRexperience comparison,1,92;171;11;72;37
-0.002604,-0.194412,Typography researchノート,4,82;252;137;78;127
0.155831,0.165643,API活用アイデア,0,141;175;170;122;49
-0.206587,-0.115395,UI comparison research,4,149;0;6;216;30
0.012700,-0.184272,Font活用case study,4,234;127;51;31;69
0.201306,-0.176205,決済画面improvement,2,36;133;161;223;48
-0.013964,-0.036286,AI活用UI,4,111;41;169;156;116
0.104615,-0.074035,ハッカソンretrospective,4,109;126;35;187;199
0.436559,-0.080753,PAY.JP機能exploration,2,148;211;163;241;121
-0.131420,-0.145333,UIcase study insights,4,237;150;134;249;165
-0.140582,-0.026111,Readability validation,4,18;146;113;91;93
-0.045406,0.203323,API validation post,0,107;242;182;93;224
-0.033740,-0.209302,Font階層design,4,51;61;127;142;8
-0.033757,-0.034554,Product improvement post,4,173;176;154;225;119
-0.083039,-0.005908,LLM comparison,4,15;124;50;184;88
-0.117620,-0.064296,XR prototype,1,106;159;37;11;112
-0.110184,0.026075,UI improvement log,4,154;222;144;90;119
0.444741,-0.073153,PAY.JPイベントreport,2,138;45;163;241;172
-0.118943,0.051350,Font research sharing,3,252;191;203;282;4
-0.199035,0.090042,API design insights,0,135;158;266;218;152
0.046813,-0.182813,デザインretrospective,4,64;39;273;272;13
0.012161,-0.175745,UI designノート,4,116;156;120;58;130
-0.112803,-0.001078,Hallucination validation,4,113;18;171;146;93
-0.126835,-0.155740,Brand touchpoints analysis,4,46;136;10;28;216
-0.045411,-0.030681,VisionOScase study validation,4,132;155;1;179;42
-0.169666,-0.124670,Fonttypesetting research,4,252;91;4;75;58
-0.110674,0.285865,API improvement proposal,0,128;224;188;173;107
0.026948,0.164336,XRexhibit sharing,1,11;47;194;92;99
0.432504,-0.092587,PAY.JPcase study validation,2,43;172;235;3;217
-0.051220,-0.160310,Layoutcase study,4,239;95;234;237;201
0.050584,-0.163961,デザイン意図articulation,4,77;28;39;153;78
-0.168033,-0.097179,Typography comparison,4,167;8;137;125;58
0.135960,-0.063043,XR関連post,1,112;52;194;99;92
-0.146481,0.028145,UI insights log,4,165;66;249;73;120
-0.212493,-0.136680,Fontlegibility research,4,82;252;18;4;97
0.008854,0.119316,XRexperience sharing,1,194;99;57;47;11
-0.100878,-0.094638,UX validation post,4,243;165;129;195;56
0.077273,-0.043127,Generative AI活用post,4,178;131;105;118;145
-0.117806,-0.198294,Color designcase study,4,239;269;125;86;234
0.217073,0.040526,ハッカソンactivities log,2,157;109;35;126;187
-0.196632,-0.124965,Font analysis,4,252;294;91;4;234
-0.090213,0.238957,API integration insights,0,29;152;248;147;254
0.191934,0.093209,XRイベントsharing,1,92;194;89;47;52
0.115244,-0.240569,ブランドdesign discussion,4,153;219;55;166;213
-0.197020,-0.213947,UX design research,4,255;267;60;249;56
0.494272,-0.014882,PAY.JP introduction post,2,121;181;163;241;148
-0.168270,-0.092699,UI improvement exploration,4,173;119;210;222;144
-0.210056,-0.166090,Design system exploration,4,210;101;14;177;53
-0.014083,-0.075430,Generative AI評価,4,178;131;94;145;118
-0.066879,-0.127798,XRcase study research,1,72;112;52;159;189
-0.075520,0.255226,API validation notes,0,68;9;182;278;296
0.156459,0.048517,ブランドworldview sharing,3,202;206;190;183;166
0.178544,-0.044794,ハッカソンreport,2,35;187;199;157;64
0.345961,-0.101370,PAY.JPuser flow analysis,2,217;247;295;133;65
-0.006204,-0.052063,AI活用exploration,4,214;170;63;94;131
0.034624,-0.099104,XR技術insights,1,89;52;106;92;72
-0.160693,-0.052201,Color validation,4,146;67;227;18;269
-0.005424,0.257197,APIcase study sharing,0,236;49;122;158;205
0.157941,-0.133385,ブランドorganizing post,4,143;174;190;202;206
0.028552,-0.159961,UIパターンresearch,4,78;130;34;156;169
-0.082024,-0.083300,Fontexperiment,4,127;164;252;91;234
-0.108721,-0.009579,Generative AIintegration,4,178;145;162;105;94
-0.111897,0.124562,UI improvement sharing,3,222;173;144;103;180
-0.177825,-0.087444,UI analysis notes,4,216;30;180;60;210
0.476056,-0.046277,PAY.JP introduction,2,102;181;148;163;241
0.113481,0.340926,API活用sharing,0,141;170;59;205;284
0.048960,-0.182556,ブランドconsistency exploration,4,183;166;213;55;219
0.108355,-0.088349,LLM応用case study,4,15;71;61;49;50
-0.178909,-0.149837,Color design comparison,4,269;95;227;60;6
0.170793,-0.043391,ハッカソンparticipation,2,157;109;187;199;64
0.005819,-0.164358,Font可変experiment,4,61;51;142;58;69
-0.110674,0.285865,API improvement proposal,0,83;224;188;173;107
0.072567,-0.189396,UX評価post,4,169;93;243;151;78
0.032235,-0.176116,UIトレンドinsights,4,116;78;66;169;156
0.019235,-0.046320,Generative AI活用validation,4,105;94;178;118;162
-0.034948,-0.043034,VisionOScase study,4,81;1;155;179;42
0.189117,-0.173270,決済user flow optimization,2,48;36;151;62;161
-0.147802,-0.084211,UIstructure insights,4,22;66;90;30;216
-0.182399,0.088545,API design organizing,0,290;158;266;76;218
-0.137513,-0.186866,Brand touchpoints design,4,46;80;153;28;267
-0.165277,-0.134627,Typography insights,4,246;2;58;88;167
0.460704,-0.052584,PAY.JPイベント,2,74;163;241;148;65
-0.152567,0.050811,AI workflow,4,268;220;292;200;286
-0.148548,-0.065926,Coloraccessibility,4,269;239;251;257;227
0.097677,0.194231,API活用例,0,175;59;170;49;122
0.035177,-0.075702,Fontライセンス,4,12;51;127;61;69
0.127319,-0.165225,ブランドorganizing,4,115;174;202;206;219
-0.214406,-0.101258,UI design improvement,4,222;225;173;73;119
-0.138476,0.005908,Generative AI insights,4,250;118;178;105;162
-0.159369,-0.045143,Layout validation,4,18;67;113;201;93
-0.089489,0.226888,API integration,0,29;98;205;284;254
0.438379,-0.064079,PAY.JP機能introduction,2,65;121;163;241;295
-0.177413,-0.039314,UI comparison post,4,60;0;6;30;38
-0.118848,-0.142184,UIcase study organizing,4,22;291;66;237;33
0.160302,-0.236946,決済UX analysis,2,36;185;48;161;133
-0.086138,0.222202,API insights,0,248;98;254;212;218
0.076318,-0.265164,ブランドexperience design,4,166;213;160;100;219
-0.085629,-0.021819,UX improvement log,4,73;225;222;176;144
-0.089626,0.016452,VisionOS analysis,4,42;179;132;81;198
-0.057206,-0.170219,UI再design,4,169;78;144;116;63
0.184121,-0.059855,ハッカソンactivities,2,96;109;126;187;199
-0.153670,0.280349,API design sharing,0,205;284;135;278;76
-0.031239,-0.083641,XRproduct introduction,1,52;72;106;112;37
0.136241,-0.174468,ブランドstory,4,166;213;219;153;202
0.151702,-0.124754,決済UI comparison,2,151;36;38;149;60
-0.052590,-0.042333,Generative AIcase study,4,118;238;145;178;105
0.466847,-0.024611,PAY.JP post,2,241;192;43;204;283
-0.019427,0.204137,APIexperiment,0,212;170;254;152;248
-0.112080,-0.095800,UX insights post,4,249;243;93;195;90
0.109520,-0.199683,ブランドexploration,4,213;55;123;219;160
-0.168033,-0.097179,Typography comparison,4,88;8;137;125;58
0.249836,-0.159435,決済experience insights,2,151;36;185;197;208
-0.008590,-0.159526,UI評価,4,129;156;216;63;78
0.051396,0.128635,API活用exploration,0,141;212;122;111;59
-0.046567,-0.025809,XRexperience validation,1,57;92;37;72;93
0.472829,-0.101226,PAY.JPcase study,2,235;43;85;3;295
-0.147963,-0.019788,UI improvement proposal,4,144;103;119;222;83
0.119145,-0.136619,ブランドorganizing notes,4,143;115;219;202;206
0.149980,0.150256,API利用例,0,141;59;170;49;122
-0.135083,-0.135968,UX improvement direction,4,225;144;154;222;36
-0.162759,-0.157776,UIuser flow exploration,4,210;10;216;30;120
-0.015611,-0.051133,Generative AI導入,4,105;94;131;118;145
-0.081277,0.047213,VisionOS insights,4,155;42;186;198;209
-0.169730,0.054697,UI analysis sharing,3,216;30;120;196;207
0.527092,0.105208,PAY.JP introduction sharing,2,121;102;204;283;192
-0.068646,0.415459,API validation sharing,0,205;284;107;158;68
0.125644,0.043498,ブランドconsistency sharing,3,123;202;206;190;108
0.034050,0.214608,LLMexperiment sharing,3,50;71;15;124;92
0.278590,-0.040001,決済UX sharing,2,151;36;197;208;195
0.018396,0.228786,VisionOS sharing post,3,198;209;179;42;155
0.207619,0.111563,ハッカソンsharing,3,199;109;157;126;35
-0.069093,0.453355,API improvement sharing,0,224;83;128;278;182
0.100888,0.074877,XRcase study sharing post,1,194;106;92;47;89
0.208207,0.064431,ブランドsharing post,3,202;206;183;115;108
-0.081661,0.136040,Font sharing post,3,203;282;75;240;276
0.485092,0.134263,PAY.JP sharing post,2,204;283;163;241;277
-0.023711,0.155776,Layout sharing post,3,201;191;195;86;146
0.029134,0.187288,XR sharing post,1,92;11;99;47;89
-0.028337,0.100413,UX sharing post,3,285;279;231;261;243
