x,y,text,cluster,connected_to
0.222477,-0.080218,UI比較スクリーンショット分析,4,100;166;178;186;26
0.004847,-0.080065,決済フローのUX検討,4,211;252;116;60;176
0.146746,0.093553,VisionOS事例共有,4,220;330;349;281;135
-0.165212,-0.081650,フォント組み合わせ考察,2,263;183;411;137;162
-0.096614,0.312992,XRイベント参加レポート,3,198;293;165;403;315
-0.137741,-0.174886,PAY.JP導入事例紹介,1,287;392;156;72;258
0.003553,-0.036678,情報設計の分解メモ,0,161;109;146;200;55
-0.070526,-0.001180,欧文フォント研究,2,283;421;137;248;201
-0.138085,0.012958,ハッカソン参加ログ,0,160;210;262;182;228
-0.045006,-0.064582,プロダクト改善アイデア,0,117;44;375;67;376
0.116159,-0.108522,UIパターン比較,4,194;63;178;186;0
-0.194367,-0.017834,ブランドトーン整理,0,239;485;151;290;192
-0.001028,0.053527,ARオーバーレイ検討,0,101;358;185;79;353
-0.128515,-0.085195,タイポグラフィ階層設計,2,229;279;115;61;97
-0.118023,-0.005203,スポンサー登壇告知,0,89;75;38;114;405
0.049101,-0.145646,API活用メモ,1,464;284;179;98;494
-0.119864,-0.031616,カラー設計考察,0,298;449;419;261;359
0.025872,-0.035598,ユーザー導線分析,0,126;54;295;276;34
-0.065675,0.358393,XRデモ共有,3,341;154;303;213;78
0.074924,-0.171303,決済UI改善検討,4,60;103;172;211;133
-0.175507,-0.075342,フォントライセンス整理,2,237;481;173;491;52
-0.065803,-0.044015,プロトタイプ検証,0,73;61;30;120;155
-0.094707,0.005531,イベント振り返り,0,129;455;459;75;458
-0.006776,-0.050263,デザインシステム言及,0,174;145;65;129;81
0.213670,0.052879,UX事例紹介,4,396;266;106;226;181
-0.061417,0.008637,LLM活用アイデア,0,256;207;307;83;168
0.260030,-0.108165,UI改善前後比較,4,240;186;100;370;166
0.284973,-0.026806,空間UI考察,4,410;224;110;282;208
-0.136765,-0.023956,ブランド一貫性の議論,0,205;305;167;47;59
-0.152677,-0.209206,PAY.JP機能紹介,1,247;108;202;94;5
-0.023675,-0.012364,視認性検証,0,112;152;193;189;271
0.054632,-0.080722,生成AIツール比較,1,91;219;197;124;175
-0.073861,0.002242,ハンドトラッキング言及,0,134;132;58;54;217
0.201223,0.056572,BtoB文脈UX,4,24;126;396;446;236
