x,y,text,cluster,connected_to
0.222477,-0.080218,UI Comparison Screenshots Analysis,4,100;166;178;186;26
0.004847,-0.080065,Payment Flow UX Review,4,211;252;116;60;176
0.146746,0.093553,VisionOS Case Study Sharing,4,220;330;349;281;135
-0.165212,-0.08165,Font Combination Insights,2,263;183;411;137;162
-0.096614,0.312992,XR Event Participation Report,3,198;293;165;403;315
-0.137741,-0.174886,PAY.JP Adoption Case Study Introduction,1,287;392;156;72;258
0.003553,-0.036678,Information Architecture Decomposition Memo,0,161;109;146;200;55
-0.070526,-0.00118,Latin Font Research,2,283;421;137;248;201
-0.138085,0.012958,Hackathon Participation Log,0,160;210;262;182;228
-0.045006,-0.064582,Product Improvement Ideas,0,117;44;375;67;376
0.116159,-0.108522,UI Pattern Comparison,4,194;63;178;186;0
-0.194367,-0.017834,Brand Tone Organization,0,239;485;151;290;192
-0.001028,0.053527,AR Overlay Review,0,101;358;185;79;353
-0.128515,-0.085195,Typography Hierarchy Design,2,229;279;115;61;97
-0.118023,-0.005203,Sponsor Talk Announcement,0,89;75;38;114;405
0.049101,-0.145646,API Utilization Memo,1,464;284;179;98;494
-0.119864,-0.031616,Color Design Insights,0,298;449;419;261;359
0.025872,-0.035598,User Flow Analysis,0,126;54;295;276;34
-0.065675,0.358393,XR Demo Share,3,341;154;303;213;78
0.074924,-0.171303,Payments UI Improvement Review,4,60;103;172;211;133
-0.175507,-0.075342,Font License Organization,2,237;481;173;491;52
-0.065803,-0.044015,Prototype Validation,0,73;61;30;120;155
-0.094707,0.005531,Event Retrospective,0,129;455;459;75;458
-0.006776,-0.050263,Design System Mention,0,174;145;65;129;81
0.21367,0.052879,UX Case Study Introduction,4,396;266;106;226;181
-0.061417,0.008637,LLM Use Ideas,0,256;207;307;83;168
0.26003,-0.108165,UI Improvement Before/After Comparison,4,240;186;100;370;166
0.284973,-0.026806,Spatial UI Insights,4,410;224;110;282;208
-0.136765,-0.023956,Brand Consistency Discussion,0,205;305;167;47;59
-0.152677,-0.209206,PAY.JP Features Introduction,1,247;108;202;94;5
-0.023675,-0.012364,Visibility Validation,0,112;152;193;189;271
0.054632,-0.080722,Generative AI Tools Comparison,1,91;219;197;124;175
-0.073861,0.002242,Hand Tracking Mention,0,134;132;58;54;217
0.201223,0.056572,Bto B Context UX,4,24;126;396;446;236
-0.064495,-0.031814,Layout Analysis,0,368;418;428;448;358
0.030221,0.367251,XR Market Share,3,341;324;213;140;315
-0.068177,-0.069186,Prompt Design Memo,0,88;146;6;81;65
0.238782,-0.104126,UI Structure Organization,4,276;224;90;71;480
0.048814,0.031785,Talk Slides Introduction,0,114;14;75;48;24
-0.13438,-0.030564,Variable Font Experiment,2,212;195;291;351;152
-0.103246,-0.081213,Payments Experience Review,0,241;280;148;163;196
0.067394,-0.020707,UI Trends Share,4,119;217;57;400;90
-0.048915,-0.00332,Community Networking,0,138;86;14;114;89
0.026512,0.061801,Japanese Latin Mixing Research,0,7;66;137;3;183
-0.08699,-0.03315,Product Value Explanation,0,117;9;265;65;21
-0.008683,0.372218,XR Interaction Experience,3,285;233;154;303;95
0.320882,-0.073133,UI Flow Redesign,4,260;295;208;240;318
-0.16377,-0.024275,Brand Articulation,0,365;28;375;445;475
0.158986,-0.107634,API Integration Introduction,1,245;164;153;235;204
-0.047683,-0.072348,Design Improvement Log,0,257;188;378;76;122
0.237809,-0.063872,UI Analysis Post,4,360;400;300;249;200
0.040959,0.346118,XR Case Study Comparison,3,393;177;213;128;95
-0.194368,-0.066719,Font Case Study Introduction,2,391;102;441;411;263
-0.173164,-0.157475,PAY.JP Campaign Announcement,1,472;202;94;272;402
0.004332,-0.012859,User Experience Insights,0,356;226;17;206;426
0.001797,-0.022687,Information Architecture Organization,0,109;6;161;37;276
0.165455,-0.052298,Generative AI Use Cases,1,270;219;157;397;297
0.091784,-0.001163,UI Screenshot Share,4,90;41;460;380;400
-0.073394,0.010033,Hackathon Outcome Report,0,182;228;278;107;160
-0.159273,0.011712,Brand Worldview Review,0,277;355;180;415;365
0.043771,-0.078626,Payments UX Improvement,4,211;176;252;116;1
-0.180474,-0.082632,Typography Validation,2,229;279;97;13;271
0.079124,0.365777,XR Expo Participation,3,223;140;177;187;413
0.121754,-0.100723,UI Component Comparison,4,10;178;0;186;269
0.244481,-0.118632,API Design Mention,1,127;444;225;264;139
-0.028299,-0.075333,Design Evaluation Points,0,174;81;129;145;286
0.070669,0.094968,Overseas Case Study Sharing,0,266;190;213;24;316
-0.035682,-0.054639,Flow Design Improvement,0,141;188;378;376;371
0.176255,0.000176,AI & UX Linking,4,136;446;191;246;456
-0.125136,0.023836,Color Accessibility,0,234;298;449;189;359
0.093266,0.041266,VisionOS Review,4,259;193;135;299;220
0.230615,-0.101173,UI Design Intent Organization,4,146;440;37;130;260
-0.195732,-0.182043,PAY.JP Case Study Post,1,287;392;156;216;258
-0.0867,-0.001698,Prototyping Notes,0,21;120;97;88;54
-0.186933,-0.072695,Font Comparison Images,2,221;391;162;361;351
