x,y,text,cluster,connected_to
0.333571,0.010512,AIは研究室のものではなく、開発者の手の中にあるべきだ。,1,18;32;12;379;374
0.262363,0.141047,Frontier AIは特権ではなく、アクセス可能であるべきだ。,1,408;32;410;409;404
0.028679,0.053749,高性能は巨大である必要はない。,3,64;115;186;411;67
0.004519,0.063650,小型モデルは妥協ではない。,3,194;241;303;163;134
0.056028,-0.025826,小さくても強いモデルは現実を変える。,3,484;29;194;241;163
-0.035412,0.068833,ベンチマークは飾りではなく、証明である。,0,427;113;222;147;40
-0.041712,-0.065330,失敗率は思想を映す。,4,149;381;316;129;52
0.258362,0.059108,信頼できるAIとは、再現可能なAIだ。,1,374;283;379;226;491
-0.068564,0.159731,オープンであることは戦略である。,2,422;176;385;304;452
-0.039104,0.062910,クローズドは速度を生むが、オープンは進化を生む。,0,452;352;58;422;176
0.117963,0.054812,APIは橋である。,0,426;353;78;386;453
-0.002328,-0.000786,モデル単体ではなく、接続性が価値を生む。,3,77;44;170;80;34
0.346102,0.050265,AIはクラウドに閉じ込められるべきではない。,1,32;377;0;373;379
0.003895,0.126524,ローカル実行は主権を取り戻す。,0,62;206;272;265;164
0.004282,-0.094310,推論速度は思想の一部だ。,4,178;35;251;188;316
0.068898,0.054753,遅い知性は使われない。,0,482;431;36;371;106
0.033418,0.001200,現実の開発者は理論よりも実装を選ぶ。,0,81;307;221;52;119
-0.036063,0.040737,パフォーマンスは机上ではなく現場で測られる。,0,186;388;27;40;185
0.345149,-0.050428,AIは研究成果ではなく道具である。,1,211;261;379;0;491
-0.026466,0.028813,道具は手に馴染む必要がある。,0,212;152;400;500;207
0.005530,0.057024,高精度は条件付きでは意味がない。,0,84;54;28;2;360
0.031444,0.080413,現実のデータは汚れている。,0,244;428;486;82;243
0.079029,0.034921,OCRは研究課題ではなく実務課題だ。,0,154;81;456;156;379
0.001843,0.038781,曖昧さへの耐性が実用性を決める。,0,83;54;360;216;456
0.027065,-0.025722,マルチモーダルは未来ではなく現在だ。,0,456;345;218;450;327
0.084874,0.051256,API公開は思想公開である。,2,177;133;463;78;445
-0.056845,0.091024,比較グラフは宣伝ではなく戦場だ。,0,112;222;27;322;197
