x,y,text,cluster,connected_to
-0.088328,0.025513,Consideration of influencer collaboration/continued,1,108;64;185;201;94
-0.000630,0.002068,Continuation of qualitative research interview design,4,111;211;386;276;287
-0.064548,-0.042078,How to use Notion and Wiki,1,106;376;233;159;172
-0.039715,-0.123909,Font selection and typography,0,32;91;48;317;403
-0.012201,0.024946,Estimate and scope management,4,369;365;360;10;242
-0.140612,-0.211915,Spatial UI accessibility notes,0,330;8;15;153;179
-0.175662,0.078415,weekend reading list,1,377;387;300;342;372
-0.016130,-0.134454,Spatial interaction verified with prototype,0,253;330;414;368;39
-0.111708,-0.162214,accessibility and inclusion,1,15;153;179;214;311
-0.024996,-0.205602,Documenting design principles,0,275;333;320;86;297
0.163038,0.110643,Marketing equation and KPI design,3,242;287;52;109;120
-0.053952,-0.116711,Continuation of API design and versioning policy,0,395;293;294;275;333
0.035413,0.103659,Data-driven improvements,1,51;136;157;229;234
-0.037473,-0.137152,UI principles for multi-user space,0,392;330;5;72;414
-0.018463,-0.182674,Linking spatial audio and UI,0,279;330;5;7;72
-0.111708,-0.162214,accessibility and inclusion,1,8;153;179;214;311
-0.094827,-0.009849,Building consensus when moving across borders (priority),4,46;289;117;195;428
-0.024379,-0.171078,Menu and HUD design in VR,0,368;305;332;14;279
-0.043970,0.085601,Email marketing automation (priority),1,382;83;142;378;10
0.051967,0.120046,Survey of market size and trends,4,10;242;64;185;216
0.121720,-0.010138,Balancing technical debt and new features,4,175;35;56;57;114
-0.065349,0.008013,Consider automating chunking and summarization,4,63;40;45;181;111
0.003048,-0.069645,Exciting design for first time use,0,174;358;130;230;421
-0.108936,0.030055,How to keep minutes and decisions,4,402;194;27;121;365
-0.012407,0.028385,1on1 and feedback culture,1,81;421;271;367;295
-0.131157,-0.016219,Ideas for improving document classification and searchability,1,320;301;9;417;65
-0.126081,-0.074692,Remote collaboration and documentation,1,30;97;180;339;123
-0.078393,0.131898,Record and analyze user observations,1,121;104;105;336;407
0.223289,-0.190807,Collaboration between product and design,2,70;84;143;241;309
0.197488,0.035382,Balancing speed and quality,2,224;272;296;374;58
-0.126081,-0.074692,Remote collaboration and documentation,1,26;97;180;339;123
-0.115179,0.115467,Customer journey map update proposal,3,353;303;66;344;352
-0.023935,-0.151154,Typography hierarchy design,0,3;48;275;333;9
0.235386,-0.004216,Consistency of experience and brand,2,113;156;182;186;225
-0.095575,0.024569,Today's lunch is udon,1,149;152;202;135;372
0.253713,0.012510,Balance between technology and business,4,56;57;114;260;264
-0.144895,0.088719,Journey scenarios by persona,1,226;419;286;363;31
