x,y,text,cluster,connected_to
-0.255580,0.296547,Claude Codeの実行ログ共有,1,2;90;20;5;66
-0.092257,0.199885,GitHub Gistリンク投稿,4,56;39;81;75;8
-0.174745,0.270707,Claude Codeをサンドボックスで実行する話,1,0;20;5;66;90
-0.076972,0.141955,CONGRATS! 日本のCoders,0,91;4;71;41;21
-0.058874,0.156526,CONGRATS! Million-Git,4,3;87;8;75;39
-0.169011,0.252844,Claude CodeのMac実行方法,1,2;6;20;0;90
-0.145977,0.267712,Claude CodeのMCP設定について,1,5;20;2;90;0
-0.180442,0.032219,実行エラーの共有,0,86;67;24;81;36
-0.062190,0.188019,GitHubリポジトリ更新報告,4,75;25;39;71;49
0.426032,0.055717,UI比較画像投稿,3,83;61;37;88;58
0.178816,-0.096096,カラーバー比較画像,2,69;37;16;58;68
0.017048,-0.205544,デバイス外観写真投稿,2,28;44;53;76;70
-0.045619,-0.163916,実機レビュー投稿,2,64;76;85;53;27
-0.035201,-0.072928,グラフ付き技術考察,2,77;72;38;29;93
-0.063822,-0.097343,実行環境構成図,0,92;63;35;53;82
-0.003605,-0.218807,ハードウェア内部写真,2,47;40;53;76;44
0.358040,0.044499,UIレイアウト比較,3,61;22;30;58;88
-0.038921,0.005332,ベンチマーク結果共有,0,52;43;24;77;81
-0.125641,-0.001210,技術メモ投稿,0,46;79;57;31;72
-0.135979,0.067838,デバッグログ共有,0,67;7;81;89;43
-0.130233,0.296354,Claude Code利用感想,1,90;66;2;0;5
-0.163137,-0.079288,実行成功報告,0,73;85;31;38;82
0.389400,0.038021,UIパーツ比較,3,16;61;30;69;88
0.047871,-0.059399,設計図画像投稿,2,65;42;70;11;18
-0.093931,0.067328,実装例共有,0,36;81;57;79;7
0.000454,0.303001,GitHub更新通知,4,75;8;87;39;56
-0.080337,0.112133,コード断片投稿,0,81;18;41;49;79
-0.082645,-0.173167,実機動作動画キャプチャ,2,76;85;53;40;64
-0.012350,-0.254417,デバイス設置写真,2,44;11;53;40;76
-0.036487,-0.146037,図解付き技術説明,2,82;62;38;72;13
0.379914,0.053737,UIテーマ比較,3,69;16;22;61;37
-0.143111,-0.114468,実験報告投稿,2,70;85;77;89;48
0.057056,-0.043379,実行速度比較,2,59;68;54;52;41
0.010898,-0.180813,デバイス性能考察,2,80;60;44;47;64
-0.048229,-0.007783,画面キャプチャ共有,0,42;81;24;27;7
0.041488,-0.048400,ソフトウェア構成図,2,92;14;63;54;65
-0.133704,0.027030,実装プロセス共有,0,24;63;57;92;79
0.432831,0.093155,UI色差比較,3,88;61;69;58;83
-0.091643,-0.119748,技術検証報告,2,93;85;62;72;31
-0.080691,0.230035,GitHubリンク再共有,4,1;75;87;8;81
-0.021339,-0.259851,実機接続写真,2,76;53;27;64;12
-0.148762,0.041284,コード実行例,0,71;24;82;86;50
-0.014172,0.004530,図面スケッチ共有,0,34;23;24;81;43
-0.103720,0.013500,テスト結果共有,0,17;81;24;34;77
0.019818,-0.246331,デバイス分解写真,2,28;80;11;33;15
0.298217,0.151518,UI改善案投稿,3,78;9;83;74;88
-0.055371,-0.020929,技術的所感投稿,2,18;84;72;31;93
-0.032436,-0.193998,ハードウェア検証,2,68;15;93;38;33
-0.125053,-0.188813,実験ログ画像,2,89;77;70;31;55
-0.083849,0.086941,コード修正報告,0,71;85;41;21;38
-0.115826,-0.077038,実行パラメータ説明,0,86;82;41;57;59
0.241351,-0.067179,UI検証スクリーンショット,3,74;65;61;16;55
0.086822,-0.038394,ベンチ結果比較,2,17;32;68;54;77
-0.036552,-0.254183,実機環境写真,2,76;40;27;64;12
0.168571,0.012362,ソフトウェア比較,2,68;32;35;52;61
-0.034006,-0.165491,実験成功スクリーンショット,2,51;48;76;77;70
-0.069231,0.259374,GitHub Gist再投稿,4,1;39;75;87;25
-0.110557,-0.007702,実装メモ,0,79;63;24;92;36
0.379782,0.010750,画面UI調整比較,3,61;88;16;37;83
-0.081179,-0.046115,実行時間測定,0,32;41;50;86;82
0.064623,-0.172712,デバイス使用感,2,33;80;64;44;28
0.412818,0.046031,UI表示比較,3,88;16;58;83;37
-0.068576,-0.093305,技術仕様言及,2,38;72;29;93;84
-0.064381,-0.032098,実装フロー図,0,92;57;36;14;82
-0.040560,-0.153589,実機レビュー追記,2,12;76;85;27;53
0.222504,-0.020193,UI設計図,3,51;61;16;23;78
-0.134491,0.302794,Claude Code検証,1,90;20;2;0;5
-0.205324,0.027873,実行ログ再共有,0,73;7;89;36;19
0.148123,-0.124494,ハードウェア比較,2,54;47;32;52;15
0.369511,0.050826,UIカラーパレット比較,3,37;30;22;16;61
-0.107577,-0.186794,実験写真投稿,2,31;48;76;55;53
-0.083824,0.126951,コード実装更新,0,41;57;24;49;63
-0.089503,-0.082181,技術考察追記,2,93;38;62;13;18
-0.211499,-0.033897,実行成功ログ,0,21;67;89;86;7
0.321126,0.025317,UI改善スクリーンショット,3,51;78;45;58;9
-0.013856,0.217704,GitHub更新案内,4,25;8;39;71;87
-0.043469,-0.265889,実機テスト写真,2,53;40;64;12;27
-0.063717,-0.130979,実験結果グラフ,2,48;31;13;55;89
0.284118,0.089268,UI表示改善,3,74;61;45;88;58
-0.117931,-0.006722,実装解説投稿,0,57;24;36;18;92
-0.008213,-0.192784,デバイス考察,2,33;60;44;28;47
-0.115951,0.169620,コード共有投稿,0,24;26;34;7;43
-0.149962,-0.081941,実行手順説明,0,86;50;63;57;41
0.396182,0.111483,UI比較再投稿,3,9;61;88;37;58
-0.102504,0.030670,技術的課題共有,0,46;72;36;93;18
-0.128873,-0.160176,実機動作報告,2,31;64;76;12;27
-0.153414,-0.039337,実行エラー解説,0,7;82;50;73;41
-0.045428,0.253983,GitHub共有,4,39;75;25;84;56
0.434969,0.109203,UI差分比較,3,61;37;83;58;16
-0.183306,-0.071026,実験ログ追記,0,48;31;73;67;77
-0.137648,0.334947,Claude Code関連投稿,1,20;66;0;2;5
-0.025066,0.010918,CONGRATS画像再共有,0,3;34;23;21;55
-0.036692,-0.086600,実装構成図,0,63;14;57;35;36
-0.063226,-0.104959,技術検証まとめ,2,38;72;47;62;84
