x,y,text,cluster,connected_to
-0.090505,-0.020565,インフルエンサー連携の検討・続き,4,108;64;185;201;94
-0.005811,-0.007710,定性リサーチのインタビュー設計の続き,3,111;211;386;276;287
-0.062251,0.031956,NotionとWikiの使い分け,3,106;376;233;159;172
-0.039679,0.123152,フォント選定とタイポグラフィ,3,32;91;48;317;403
-0.011612,-0.030371,見積もりとスコープの管理,1,369;365;360;10;242
-0.137094,0.210120,空間UIのアクセシビリティ・メモ,3,330;8;15;153;179
-0.178498,-0.079486,週末の読書リスト,4,377;387;300;342;372
-0.016798,0.125152,プロトタイプで検証した空間インタラクション,3,253;330;368;39;228
-0.106596,0.174318,アクセシビリティとインクルージョン,4,15;153;179;214;311
-0.021450,0.202780,デザイン原則のドキュメント化,0,275;333;320;86;297
0.158090,-0.131278,マーケの方程式とKPI設計,1,242;287;52;109;120
-0.051220,0.107566,API設計の続きとバージョニング方針,3,395;293;294;275;333
0.032119,-0.109261,データに基づく改善,4,51;136;157;229;234
-0.036077,0.129602,マルチユーザー空間のUI原則,3,392;330;5;72;91
-0.016190,0.176514,空間オーディオとUIの連動,3,279;330;5;7;72
-0.106596,0.174318,アクセシビリティとインクルージョン,4,8;153;179;214;311
-0.094426,0.012069,越境して動くときの合意形成（優先）,4,46;289;117;195;49
-0.023151,0.166017,VRでのメニューとHUD設計,3,368;305;332;14;279
-0.046252,-0.085262,メールマーケのオートメーション（優先）,4,382;83;142;378;10
0.046428,-0.132483,市場規模とトレンドの調査,1,10;242;64;185;216
0.123651,-0.006843,技術的負債と新機能のバランス,2,175;35;56;57;114
-0.066356,-0.026119,チャンクと要約の自動化の検討,4,63;40;45;181;111
0.002068,0.080896,初回利用時のワクワク設計,3,174;358;130;230;231
-0.109178,-0.033664,議事録と決定事項の残し方,4,402;194;27;121;365
-0.014669,-0.027011,1on1とフィードバックの文化,4,81;271;367;295;86
-0.131395,0.016141,ドキュメント分類と検索性改善のアイデア,4,320;301;9;65;329
-0.121486,0.081843,リモートでの協働とドキュメント,4,30;97;180;339;123
-0.083718,-0.131913,ユーザー観察の記録と分析,4,121;104;105;336;407
0.227312,0.193650,プロダクトとデザインの連携,0,70;84;143;241;309
0.198587,-0.040016,スピードと品質の両立,2,224;272;296;374;58
-0.121486,0.081843,リモートでの協働とドキュメント,4,26;97;180;339;123
-0.118761,-0.079366,カスタマージャーニーマップの更新案,4,353;303;66;344;352
-0.023433,0.150611,タイポグラフィの階層設計,3,3;48;275;333;9
0.232722,0.029972,体験の一貫性とブランド,2,113;156;182;186;225
-0.098171,-0.019032,今日のお昼はうどん,4,149;152;202;135;372
0.254628,-0.029292,技術とビジネスのバランス,2,56;57;114;260;264
-0.148860,-0.060016,ペルソナ別ジャーニーシナリオ,4,226;286;363;31;352
-0.020171,-0.024781,知的財産とライセンスの整理,4,146;245;317;403;194
-0.153578,-0.080027,ネットワーキングのフォローアップ,4,391;271;367;210;0
-0.083323,0.082422,空間内ナビゲーションのパターン,3,228;7;5;330;253
-0.079495,-0.052559,LLMを活用した要約と分類,4,45;21;63;390;145
0.087768,0.289600,デザインシステムと開発,0,101;205;258;341;345
-0.131171,-0.138147,参加者アンケートの分析・メモ,4,96;27;121;133;219
0.159700,-0.086975,顧客体験と収益の両立,2,191;346;370;373;399
-0.126716,0.139631,XR空間UIのインタラクション案（v2）,3,368;253;7;5;330
-0.079495,-0.052559,LLMを活用した要約と分類,4,40;21;63;390;145
-0.094759,0.031705,越境して動くときの合意形成,4,16;289;117;195;181
0.033164,0.046157,プロトタイプの fidelity の選び方,3,7;53;87;158;3
